train_loss,val_loss
-4.367736650731998,-3.7552852255957467
-4.466648889806705,-4.101522323063442
-4.451964230583118,-4.04175524030413
-4.452772209819513,-3.9705696957451955
-4.089624988004422,-3.9510573250906806
-4.412626755885042,-3.89065260546548
-4.405007013116782,-4.132486649921963
-4.600795006980531,-4.117609555380685
-4.506927324940983,-4.331684528078352
-4.588440349688545,-3.9207136631011963
-4.510041488245273,-3.8382476261683873
-4.33073388654203,-3.88632619040353
-4.56482379733564,-4.356087677819389
-4.508749622887316,-3.557592477117266
-4.559680960429743,-3.917640175138201
-4.614124823682986,-4.197861470494952
-4.592335209678918,-3.9294752972466607
-4.411173229781203,-4.098382425308228
-4.605504350921216,-3.974454539162772
-4.6794021655195435,-4.371034124919347
-4.528153919564269,-4.090292494637626
-4.5804307605511845,-3.8357081992285593
-4.5392549354047445,-4.306073835917881
-4.454550262457266,-4.214656407492502
-4.63703157574224,-4.228861849648612
-4.7080060300735616,-3.8475152594702586
-4.6232507354535235,-4.222234455176762
-4.584017648864478,-4.204657009669712
-4.520405159590724,-4.1216471535818915
-4.6215191058838325,-4.137441972323827
-4.324050074092115,-3.865520913260324
-4.59498518724411,-4.282742299352374
-4.521867442816591,-4.1578069686889645
-4.426537934202736,-3.185957407951355
-4.6815571864953816,-3.832892404283796
-4.683701454640958,-4.222276432173593
-4.634301670823996,-4.1885127885001046
-4.5918899824063235,-4.166061496734619
-4.503708710304846,-4.211248510224479
