"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"MIDC-Net: Medical Image Denoising and Disease Classification Network for Chest X-rays","J. Li","Department of Mathematics, Halıcıoğlu Data Science Institute, University of California, San Diego, San Diego, California, United States",2023 3rd International Conference on Electronic Information Engineering and Computer Science (EIECS),"21 Feb 2024","2023","","","834","838","Accurate medical imaging is vital for precise disease diagnosis and effective treatment. However, X-ray images may be subject to varying degrees of noise due to factors such as patient health conditions requiring reduced X-ray radiation. In this paper, the Medical Image Denoising and Disease Classification Network (MIDC-Net) is proposed to solve the issue of noisy chest X-rays that negatively affects thorax disease classification by performing image denoising and disease classification simultaneously. The MIDC-Net integrates a Convolutional Neural Network (CNN) for classification, and a denoising autoencoder with convolutional layers and residual connections for image denoising. It comprises three components, namely an encoder, a decoder, and a classifier, where the input of the encoder is noisy images with varying levels of Gaussian noise, and the output of the decoder and the classifier are reconstructed images and predicted diseases. The loss of the MIDC-Net is a linear combination of Mean Square Error (MSE) loss used for denoising and Binary Cross-Entropy (BCE) loss used for multi-label classification. Experimental outcomes on the NIH chest X-ray dataset illustrated that the reconstructed images resembled the original X-rays, and the network achieved a low MSE loss, but the quality of denoised images exhibited an inverse relationship with noise levels. Regarding multi-label thorax classification results, the test accuracies all exceed 95% regardless of noise levels of the input images, demonstrating efficient and accurate prediction in the scenario of noisy inputs.","","979-8-3503-1667-4","10.1109/EIECS59936.2023.10435558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435558","Image denoising;multi-label classification;convolutional neural network;denoising autoencoder","Noise reduction;Decoding;Noise measurement;X-ray imaging;Image reconstruction;Diseases;Image denoising","","","","10","IEEE","21 Feb 2024","22-24 Sept. 2023","22-24 Sept. 2023","IEEE","IEEE Conferences"
"Accelerated dual gradient-based methods for total variation image denoising/deblurring problems","D. Kim; J. A. Fessler","Dept. of Electrical Engineering and Computer Science, University of Michigan; Dept. of Electrical Engineering and Computer Science, University of Michigan","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","19 Jun 2017","2017","","","6230","6234","We study accelerated dual gradient-based methods for image denoising/deblurring problems based on the total variation (TV) model. For the TV-based denoising problem, combining the dual approach and Nesterov's fast gradient projection (FGP) method has been found effective. The corresponding denoising method minimizes the dual function with FGP's optimal rate O(1/k2) where k denotes the number of iterations, and guarantees a rate O(1/k) for the primal function decrease. Considering that the dual projected gradient decrease is closely related to the primal function decrease, this paper proposes new accelerated gradient projection methods that decrease the projected gradient norm with a fast rate O(1/k1.5) and that are as efficient as FGP. The proposed approach also decreases the primal function with a faster rate O(1/k1.5). We provide preliminary results on image denoising/deblurring problems with a TV regularizer, where the fast and efficient denoising solver is iteratively used for solving a deblurring problem as the inner proximal update of a fast iterative shrinkage/thresholding algorithm (FISTA).","2379-190X","978-1-5090-4117-6","10.1109/ICASSP.2017.7953354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953354","Fast dual gradient-based methods;image deblurring;image denoising;total variation","TV;Noise reduction;Convergence;Acceleration;Image restoration;Image denoising;Gradient methods","","3","","13","IEEE","19 Jun 2017","5-9 March 2017","5-9 March 2017","IEEE","IEEE Conferences"
"Few-Shot Learning for Image Denoising","B. Jiang; Y. Lu; B. Zhang; G. Lu","Department of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; Department of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China; Department of Computer and Information Science, PAMI Research Group, University of Macau, Macau, China; Department of Computer Science and Technology, Harbin Institute of Technology at Shenzhen, Shenzhen, China",IEEE Transactions on Circuits and Systems for Video Technology,"5 Sep 2023","2023","33","9","4741","4753","Deep Neural Networks (DNNs) have achieved impressive results on the task of image denoising, but there are two serious problems. First, the denoising ability of DNNs-based image denoising models using traditional training strategies heavily relies on extensive training on clean-noise image pairs. Second, image denoising models based on DNNs usually have large parameters and high computational complexity. To address these issues, this paper proposes a two-stage Few-Shot Learning for Image Denoising (FSLID). Our FSLID is a two-stage denoising strategy integrating Basic Feature Learner (BFL), Denoising Feature Inducer (DFI), and Shared Image Reconstructor (SIR). BFL and SIR are first jointly unsupervised to train on the base image dataset  $\mathcal {D}_{base}$  consisting of easily collected high-quality clean images. Following this, the trained BFL extracts the guided features and constraint features for the noisy and corresponding clean images in the novel image dataset  $\mathcal {D}_{novel}$ , respectively. Furthermore, DFI encodes the noisy features of the noisy images in  $\mathcal {D}_{novel}$ . Then, inducing both the guided features and noisy features, DFI can generate the denoising prior features for the SIR with frozen weights to adaptively denoise the noisy images. Furthermore, we propose refined, low-channel-count, recursive multi-branch Multi-Scale Feature Recursive (MSFR) to modularly formulate an efficient DFI to capture more diverse contextual features information under a limited number of feature channels. Thus, compared with the baseline models, the FSLID composed of the proposed MSFR can significantly reduce the number of model parameters and computational complexity. Extensive experimental results demonstrate our FSLID significantly outperforms well-established baselines on multiple datasets and settings. We hope that our work will encourage further research to explore the field of few-shot image denoising.","1558-2205","","10.1109/TCSVT.2023.3248585","NSFC Fund(grant numbers:62176077,62206073); Shenzhen Key Technical Project(grant numbers:2022N001,2020N046,2022N063); Shenzhen Fundamental Research and Discipline Layout project(grant numbers:JCYJ20210324132210025); Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies(grant numbers:2022B1212010005); Guangdong Shenzhen joint Youth Fund(grant numbers:2021A151511074); Natural Science Foundation of Guangdong Province(grant numbers:2023A1515010893); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10052727","Image denoising;few-shot learning;basic feature learner;denoising feature inducer;shared image reconstructor;multi-scale feature recursive","Noise reduction;Noise measurement;Image denoising;Image reconstruction;Feature extraction;Task analysis;Training","","18","","44","IEEE","24 Feb 2023","Sept. 2023","","IEEE","IEEE Journals"
"Simultaneous Nonlocal Self-Similarity Prior for Image Denoising","Z. Zha; X. Yuan; B. Wen; J. Zhang; J. Zhou; C. Zhu","School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; Nokia Bell Labs, Murray Hill, NJ, USA; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, Singapore; Kangni Mechanical and Electrical Institute, Nanjing Institute of Technology, Nanjing, China; Department of Computer and Information Science, University of Macau, Macau, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China",2019 IEEE International Conference on Image Processing (ICIP),"26 Aug 2019","2019","","","1119","1123","Nonlocal image representation has achieved great success in various image processing tasks such as image denoising, image deblurring and image deblocking. Particularly, by exploiting the image nonlo-cal self-similarity (NSS) prior, many nonlocal similar patches can be searched across the whole image for a given patch, which has significantly boosted the performance of image restoration. To the best of our knowledge, most existing methods only consider the NSS prior of the input degraded image, while few methods exploit the NSS prior from external clean image corpus. However, how to utilize the NSS priors of input degraded image and external clean image corpus simultaneously is still an open problem. In this paper, we propose a novel approach for image denoising, which exploits simultaneous nonlocal self-similarity (SNSS) by integrating the NSS priors of both the input degraded image and external clean image corpus. Firstly, we search and group nonlocal similar patches from a clean image corpus, and a group-based Gaussian Mixture Model (GMM) learning algorithm is developed to learn an external NSS prior. Then, an optimal group is selected from the best suitable Gaussian component for a group of the noisy image. By integrating the group of the noisy image and the corresponding group of the Gaussian component with a low-rank constraint, an iterative algorithm is developed to solve the proposed SNSS model. Experimental results demonstrate that the proposed SNSS-based denoising method produces superior results compared with many state-of-the-art denoising methods in both objective and perceptual quality.","2381-8549","978-1-5386-6249-6","10.1109/ICIP.2019.8804272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8804272","Image denoising;simultaneous nonlocal self-similarity;gaussian mixture model;low-rank","Image denoising;Noise measurement;Noise reduction;Image restoration;Wavelet transforms;Gaussian mixture model","","5","","34","IEEE","26 Aug 2019","22-25 Sept. 2019","22-25 Sept. 2019","IEEE","IEEE Conferences"
"On Image Denoising Method Based on Sparse Representation","X. Li; C. Liu","School of Control and Computer Engineering, North China Electric Power University, Baoding, Hebei, China; School of Control and Computer Engineering, North China Electric Power University, Baoding, Hebei, China",2018 37th Chinese Control Conference (CCC),"7 Oct 2018","2018","","","9073","9077","An important way for people to obtain information is vision. However, during the collection and transmission of digital images, there is often some noise that is not good for people to get information quickly and correctly. Therefore, before the image processing analysis, the image denoising pretreatment is particularly important. However, the traditional denoising method will lose the details of the image and the result of denoising is unsatisfactory. In recent years, with the continuous improvement of sparse representation theory, it has also made great progress in image processing and has been well applied in image denoising, which has become one of the most effective methods in current image denoising methods. Using sparse coding decomposes the image on sparse domain, and the handling of the sparse coefficient by setting threshold. And based on a sparse representation of an overly-complete dictionary, an image is represented by a linear combination of atoms in the dictionary. Its adaptability also brings better denoising effect.","1934-1768","978-988-15639-5-8","10.23919/ChiCC.2018.8483757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8483757","Image Denosing;Sparse Representation;Overcomplete Dictionary","Dictionaries;Matching pursuit algorithms;Noise reduction;Image denoising;Digital images;Optimization;Additive noise","","1","","16","","7 Oct 2018","25-27 July 2018","25-27 July 2018","IEEE","IEEE Conferences"
"An edge detection based anisotropic denoising method for mobile phone images","X. Han; X. Lu; X. Wu; C. Liu","Key Laboratory of Measurement and Control of CSE, Southeast University, Nanjing, China; Key Laboratory of Measurement and Control of CSE, Southeast University, Nanjing, China; Key Laboratory of Measurement and Control of CSE, Southeast University, Nanjing, China; Key Laboratory of Measurement and Control of CSE, Southeast University, Nanjing, China",2015 8th International Congress on Image and Signal Processing (CISP),"18 Feb 2016","2015","","","876","881","To satisfy people's increasing requirement of mobile phone images, remove the image noise and prevent the edge from blurred, an edge detection based anisotropic denoising method for mobile phone image is proposed in this paper. To begin with, wavelet transform edge detection and threshold segmentation are adopted to extract the outline of the image. Then anisotropic diffusion denoising algorithm is applied to remove noise on the edge of the image while average filter is used in the smooth area. Finally the denoised image is grayed to further eliminate color noise, so as to improve the denoising effect. Simulation and actual experimental results show that the proposed method can effectively smooth noise, preserve image edge and remove the color noise, consequently obtain the ideal denoising effect. It is competitive with the existing methods both in terms of peak signal-to-noise ratio (PSNR) and in structural similarity index measure (SSIM).","","978-1-4673-9098-9","10.1109/CISP.2015.7408001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7408001","mobile phone image;edge detection;wavelet transform;anisotropic diffusion denoising;graying","Image edge detection;Noise reduction;Wavelet transforms;Colored noise;Image color analysis;Mobile handsets","","3","","17","IEEE","18 Feb 2016","14-16 Oct. 2015","14-16 Oct. 2015","IEEE","IEEE Conferences"
"Image Denoising by Incorporating Noisy Image Patch and Impulse Response of Low-Pass Filter in CNN Learning","M. T. Tun; Y. Sugiura; T. Shimamura","Graduate School of Science and Engineering, Saitama University, Sakura-ku, Saitama, Japan; Graduate School of Science and Engineering, Saitama University, Sakura-ku, Saitama, Japan; Graduate School of Science and Engineering, Saitama University, Sakura-ku, Saitama, Japan",2023 IEEE 12th Global Conference on Consumer Electronics (GCCE),"16 Nov 2023","2023","","","721","722","In this paper, we present a novel image denoising approach which incorporates the noisy image patch and the impulse response of low-pass filter (LPF) in convolutional neural network (CNN) learning. We demonstrate the performance of the proposed method for spatially variant additive white Gaussian noise (AWGN) and realistic noise removal. Our method outperforms the conventional fast and flexible denoising CNN (FFDNet) in preserving image information and perceptual quality, particularly in high noise variance.","2693-0854","979-8-3503-4018-1","10.1109/GCCE59613.2023.10315451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10315451","Image denoising;convolutional neural network;FFDNet;impulse response of low-pass filter;power spectrum sparsity","AWGN;Noise reduction;Low-pass filters;Convolutional neural networks;Noise measurement;Consumer electronics;Image denoising","","1","","4","IEEE","16 Nov 2023","10-13 Oct. 2023","10-13 Oct. 2023","IEEE","IEEE Conferences"
"Shearlet transform based image denoising using histogram thresholding","T. S. Anju; N. R. N. Raj","Department of ECE, Sree Chitra Thirunal College of Engineering, Trivandrum, Kerala; Department of ECE, Sree Chitra Thirunal College of Engineering, Trivandrum, Kerala",2016 International Conference on Communication Systems and Networks (ComNet),"19 Jan 2017","2016","","","162","166","This paper presents an efficient image denoising method by incorporating shearlet-based histogram thresholding. Nowadays, digital images are used in wide range of applications but most of these images are degraded during transmission and acquisition process. Removal of noise from images is still a challenging task for many researchers because there is always a trade-off between noise removal and fine edge preservation. This paper is based on image denoising using shearlet transform. Shearlets have excellent features for data analysis and processing, which overcomes the limitation of traditional methods. They are optimally sparse and have multi-scale and multi-directional properties which are optimal in representing image containing edges. In this paper, the proposed method is found to produce superior peak signal-to-noise ratio (PSNR) over the conventional denoising algorithms.","","978-1-5090-3349-2","10.1109/CSN.2016.7824007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7824007","Discrete Shearlet Transform;Histogram Thresholding;Image Denoising;Multiresolution Analysis","Histograms;Image denoising;Noise reduction;Algorithm design and analysis;Image edge detection;Wavelet transforms","","18","","7","IEEE","19 Jan 2017","21-23 July 2016","21-23 July 2016","IEEE","IEEE Conferences"
"An efficient example-based method for CT image denoising based on frequency decomposition and sparse representation","T. -T. Nguyen; D. -H. Trinh; N. Linh-Trung","University of Information and Communication Technology, Thai Nguyen University, Thai, Nguyen, Vietnam; CRAN, Universite de Lorraine, Nancy, France; University of Engineering and Technology, Vietnam National University, Hanoi, Vietnam",2016 International Conference on Advanced Technologies for Communications (ATC),"5 Dec 2016","2016","","","293","296","In this paper we present an efficient example-based method for Gaussian denoising of CT images. In the proposed method, an image is considered as a sum of the three frequency bands: low-band, middle-band and high-band. We assume that the noise component is often mixed into the middle-band and the high-band in order to better preserve the high-frequency details in the image we perform denoising on these two bands. The method is based on a sparse representation model in which a set of standard images is used to construct the example dictionaries. The experimental results demonstrate that the proposed denoising method can preserve well the high-frequency details. The objective and subjective comparisons also show that the proposed our method outperforms other state-of-the-art denoising methods.","2162-1039","978-1-5090-2711-8","10.1109/ATC.2016.7764792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7764792","Medical image denoising;Computed tomography (CT);Sparse representation;Example-based denoising","Noise reduction;Computed tomography;Databases;Standards;Noise measurement;Lungs;Image denoising","","4","","18","IEEE","5 Dec 2016","12-14 Oct. 2016","12-14 Oct. 2016","IEEE","IEEE Conferences"
"Comparing and Combining MLPs and CNNs for Image Denoising","D. Zhang; L. Zhao; D. Xu; D. Lu","Department of Computer Science and Technology, Zhejiang University; Department of Computer Science and Technology, Zhejiang University; Department of Computer Science and Technology, Zhejiang University; Department of Computer Science and Technology, Zhejiang University",2018 IEEE 4th International Conference on Computer and Communications (ICCC),"1 Aug 2019","2018","","","1680","1684","Deep Learning has shown great success in image processing tasks such as image denoising. The superiority of those learning based methods is obvious that there is no need for hand-crafted priors. In fact, two of main neural network models Multi-Layer Perceptron (MLPs) and Convolutional Neural Network (CNNs) have been explored for image noise removing. In this work, we concentrate on comparing and combining those two models for image denoising. We identify the MLPs and CNNs have different preference for different image patches, and reveal that the property is related to image patch Signal-to-Noise-Ratio [1]. Furthermore, a new approach based on MLPs and CNNs are proposed for image noise reducing. Experiments on realistic noisy images prove the effectiveness of the new method.","","978-1-5386-8339-2","10.1109/CompComm.2018.8780788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8780788","component;denoising;image processing;Multi-Layer Perceptron;Convolutional Neural Network","Noise measurement;Image denoising;Signal to noise ratio;Noise reduction;Convolutional neural networks;Convolution","","","","15","IEEE","1 Aug 2019","7-10 Dec. 2018","7-10 Dec. 2018","IEEE","IEEE Conferences"
"An Improved Image Denoising Algorithm","L. Shi","University of Science and Technology of China, Anhui, Hefei, China",2015 Seventh International Conference on Measuring Technology and Mechatronics Automation,"14 Sep 2015","2015","","","109","113","Wavelet theory has been developed rapidly in recent years, which has increasingly wide application in image denoising. It is very important to select threshold function and threshold in wavelet threshold denoising algorithm. Different selections will affect the denoising effect directly. In the paper, traditional soft and hard threshold functions were further analyzed and studied, advantages of denoising performances in both soft and hard threshold functions were combined for proposing an improved threshold function. Threshold proposed by Donoho was improved according to characteristics of wavelet decomposition layers and noise wavelet coefficient in the paper. Different wavelet basis and decomposition layers were compared in order to optimize simulation results in the paper. Then, appropriate wavelet basis and decomposition layers were selected for experiment. The experimental results showed that denoising method proposed in the paper can effectively eliminate the noise in the image with good edge information protection and visual effect.","2157-1481","978-1-4673-7143-8","10.1109/ICMTMA.2015.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7263525","wavelet;image denoising;threshold value","Noise reduction;Image denoising;Wavelet coefficients;Gaussian noise;Wavelet domain","","","","11","IEEE","14 Sep 2015","13-14 June 2015","13-14 June 2015","IEEE","IEEE Conferences"
"Improving Extreme Low-Light Image Denoising via Residual Learning","P. Maharjan; L. Li; Z. Li; N. Xu; C. Ma; Y. Li","University of Missouri-Kansas City, USA; University of Missouri-Kansas City, USA; University of Missouri-Kansas City, USA; Amazon Go, USA; Kwai Inc., USA; University of Science and Technology of China, China",2019 IEEE International Conference on Multimedia and Expo (ICME),"5 Aug 2019","2019","","","916","921","Taking a satisfactory picture in a low-light environment remains a challenging problem. Low-light imaging mainly suffers from noise due to the low signal-to-noise ratio. Many methods have been proposed for the task of image denoising, but they fail to work under extremely low-light conditions. Recently, deep learning based approaches have been presented that have higher objective quality than traditional methods, but they usually have high computational cost which makes them impractical to use in real-time applications or where the processing power is limited. In this paper, we propose a new residual learning based deep neural network for end-to-end extreme low-light image denoising that can not only significantly reduce the computational cost but also improve the quality over existing methods in both objective and subjective metrics. Specifically, in one setting we achieved 29x speedup with higher PSNR. Subjectively, our method provides better color reproduction and preserves more detailed texture information compared to state-of-the-art methods.","1945-788X","978-1-5386-9552-4","10.1109/ICME.2019.00162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784972","Deep Residual Learning;Image Denoising;Low Light Image Enhancement","Image color analysis;Image denoising;Image sensors;Sensors;Training;Task analysis;Deep learning","","68","","15","IEEE","5 Aug 2019","8-12 July 2019","8-12 July 2019","IEEE","IEEE Conferences"
"RGF-DnCNN-GMM: Multi-Modal Medical Image Fusion Using Rolling Guidance Filtering, CNN Denoising, and Gradient-Based Adaptive Fusion","D. K. Chaudhary; P. Singh; A. Shankar","School of Computer Science Engineering and Technology, Bennett University, Greater Noida, India; School of Computer Science Engineering and Technology, Bennett University, Greater Noida, India; School of Computer Science Engineering and Technology, Bennett University, Greater Noida, India",2025 5th International Conference on Internet of Things: Smart Innovation and Usages (IoT-SIU),"25 Feb 2026","2025","","","1","5","This paper presents a hybrid medical image fusion (MIF) framework that combines Rolling Guidance Filtering (RGF), deep learning-based denoising via DnCNN, and a Gradient Magnitude Map (GMM)-based adaptive fusion strategy (RGF-DnCNN-GMM). The method starts with RGF to segment source images into BLs and DLs, enabling the successful segmentation of structures and textures. The BLs and DLs are fused using energy- and contrast-based weighting, followed by DnCNN denoising to suppress residual noise. A final fusion step with GMM that improves edge sharpness and detail clarity. The RGF-DnCNN-GMM method is tested on multimodal medical image datasets and compared with traditional and deep-learning-fused techniques. Quantitative results indicate that the RGF-DnCNN-GMM achieves the best scores across all metrics, indicating superior information preservation and visual quality. Visual analysis provides further assurance of improved edge continuity and texture fidelity. The RGF-DnCNN-GMM shows great promise for clinical imaging applications, where both image structure and clarity are essential.","","979-8-3315-9099-4","10.1109/IOT-SIU65919.2025.11402756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11402756","image fusion;medical image fusion;rolling guidance filtering;CNN denoising;medical images","Visualization;Image segmentation;Adaptive systems;Filtering;Navigation;Image edge detection;Noise reduction;Noise;Medical diagnostic imaging;Image fusion","","","","8","IEEE","25 Feb 2026","27-28 Nov. 2025","27-28 Nov. 2025","IEEE","IEEE Conferences"
"Image Denoising using Deep Learning: Convolutional Neural Network","S. Ghose; N. Singh; P. Singh","Department of CSE, Amity University Uttar Pradesh, Noida, India; Department of CSE, Amity University Uttar Pradesh, Noida, India; Department of CSE, Amity University Uttar Pradesh, Noida, India","2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","9 Apr 2020","2020","","","511","517","It has become an important task to remove noise from the image and restore a high-quality image in order to process image further for the purpose like object segmentation, detection, tracking etc. This paper presents denoising of image using the convolutional neural network (CNN) model in deep learning. This analysis is done by adding 1% to 10% Gaussian white noise to the image and then applying CNN model to denoise it. Further, qualitative and quantitative analysis of the denoised image is performed. Under qualitative analysis comes the quality of image where edge factor, texture, uniform region and non-uniform region, smoothness, structure of objects is considered. The quantitative analysis is done using the three metrics which are PSNR (peak signal to noise ratio), SSIM (structural similarity index measurement), and MSE (mean square error) in which the CNN based method's results are compared with the traditional or standard methods of image denoising. The results from the analysis and experiment show that the CNN model can efficiently remove a lot of Gaussian noise and restore the image details and data than any other traditional/standard image filtering techniques.","","978-1-7281-2791-0","10.1109/Confluence47617.2020.9057895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057895","Image denoising;convolutional neural network;Deep Learning;MATLAB;Gaussian white noise","Conferences;Cloud computing;Data science;Machine learning;Convolutional neural networks;Image denoising;Noise reduction","","67","","30","IEEE","9 Apr 2020","29-31 Jan. 2020","29-31 Jan. 2020","IEEE","IEEE Conferences"
"Simultaneous Attenuation Correction, Scatter Correction, and Denoising in PET Imaging with Deep Learning","J. Hu; W. Whiteley; X. Zhang; C. Zhou; V. Panin","Molecular Imaging, Siemens Medical Solutions USA, Knoxville, TN; Molecular Imaging, Siemens Medical Solutions USA, Knoxville, TN; Molecular Imaging, Siemens Medical Solutions USA, Knoxville, TN; Molecular Imaging, Siemens Medical Solutions USA, Knoxville, TN; Molecular Imaging, Siemens Medical Solutions USA, Knoxville, TN",2020 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),"12 Aug 2021","2020","","","1","3","Low radiation dose is desirable in PET/CT imaging. The delivered dose originates from both CT scans and injected PET radioisotopes. CT data is used for attenuation and scatter corrections in PET image formation. A standard PET dose is usually needed to generate PET images of clinical quality so that physicians can make diagnosis with confidence. In this work, we eliminated the CT scans and reduced the PET dose while maintaining image quality by performing simultaneous attenuation correction, scatter correction, and denoising using a deep learning approach. We trained a multi-layer convolutional neural network (CNN) with non-attenuation corrected, non-scatter corrected, and low dose PET images as input, and fully corrected standard dose PET images as labels. After the CNN is trained, it is used to generate fully corrected standard dose PET images from low dose PET data alone. This capability will make CT scan unnecessary and save PET dose significantly. We validated our methodology with patient data. The results showed that attenuation correction, scatter correction, and denoising can be performed simultaneously using the deep learning method.","2577-0829","978-1-7281-7693-2","10.1109/NSS/MIC42677.2020.9508020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9508020","Attenuation Correction;Denoising;Deep Learning;Scatter Correction;Positron Emission Tomography (PET)","Deep learning;Image quality;Radioactive materials;Computed tomography;Noise reduction;Medical services;Attenuation","","3","","9","IEEE","12 Aug 2021","31 Oct.-7 Nov. 2020","31 Oct.-7 Nov. 2020","IEEE","IEEE Conferences"
"Research on Image Denoising Algorithm Based on Self-Supervised Learning","W. Lv; X. Chen; M. Yang","School of Computer Science and Engineering, Wuhan Institute of Technolog, Wuhan, China; School of Computer Science and Engineering, Wuhan Institute of Technolog, Wuhan, China; School of Computer Science and Engineering, Wuhan Institute of Technolog, Wuhan, China",2024 6th International Conference on Robotics and Computer Vision (ICRCV),"26 Nov 2024","2024","","","127","131","In recent years, neural network models based on self-supervised learning have shown excellent performance in the field of image denoising. However, current denoising methods either rely on specific noise models or can only perform denoising tasks under specified noise distributions. Moreover, these network models often have a large number of parameters, leading to inefficient parameter usage. To address these issues, inspired by the traditional Partial Differential Equation (PDE) methods in image denoising, we attempted to combine Neural Ordinary Differential Equations (NODEs) with Convolutional Neural Networks (CNNs) to produce a neural network model with NODE-like properties. This was aimed at improving the parameter efficiency of the model. Additionally, we introduced a new architecture within the model, namely normalization equivariance, which enables existing neural network models to possess the property of normalization equivariance. Compared to models lacking this property, models with normalization equivariance often exhibit stronger generalization capabilities and robustness. Through comparative experiments conducted on artificially synthesized noise and noise from real-world colored images, the results indicate that our proposed method demonstrates remarkable denoising effects across different scenarios. It exhibits stronger generalization capabilities and restores most of the texture details within the original images.","","979-8-3315-2742-6","10.1109/ICRCV62709.2024.10758582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10758582","Image denoising;Self-supervised learning;Normalization equivariance;NODE network","Partial differential equations;Noise;Noise reduction;Neural networks;Self-supervised learning;Ordinary differential equations;Mathematical models;Robustness;Image restoration;Image denoising","","","","16","IEEE","26 Nov 2024","20-22 Sept. 2024","20-22 Sept. 2024","IEEE","IEEE Conferences"
"Pyramid Real Image Denoising Network","Y. Zhao; Z. Jiang; A. Men; G. Ju","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; GuangDong TUS-TuWei Technology Co.,Ltd, Guangzhou, China",2019 IEEE Visual Communications and Image Processing (VCIP),"23 Jan 2020","2019","","","1","4","While deep Convolutional Neural Networks (CNNs) have shown extraordinary capability of modelling specific noise and denoising, they still perform poorly on real-world noisy images. The main reason is that the real-world noise is more sophisticated and diverse. To tackle the issue of blind denoising, in this paper, we propose a novel pyramid real image denoising network (PRIDNet), which contains three stages. First, the noise estimation stage uses channel attention mechanism to recalibrate the channel importance of input noise. Second, at the multi-scale denoising stage, pyramid pooling is utilized to extract multi-scale features. Third, the stage of feature fusion adopts a kernel selecting operation to adaptively fuse multi-scale features. Experiments on two datasets of real noisy photographs demonstrate that our approach can achieve competitive performance in comparison with state-of-the-art denoisers in terms of both quantitative measure and visual perception quality.","2642-9357","978-1-7281-3723-0","10.1109/VCIP47243.2019.8965754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8965754","Real Image Denoising;Convolutional Neural Networks;Channel Attention;Pyramid Pooling;Kernel Selecting","Noise reduction;Kernel;Noise measurement;Feature extraction;Image denoising;Estimation;Visualization","","34","","19","IEEE","23 Jan 2020","1-4 Dec. 2019","1-4 Dec. 2019","IEEE","IEEE Conferences"
"Double Density Wavelet with Fast Bilateral Filter based Image Denoising for WMSN","H. Rekha; P. Samundiswary","Dept. of Electronics Engineering, Pondicherry University, Pondicherry, India; Dept. of Electronics Engineering, Pondicherry University, Pondicherry, India",2017 Ninth International Conference on Advanced Computing (ICoAC),"23 Aug 2018","2017","","","315","320","Removal of Gaussian noise from the sensor image during acquisition is such a difficult task in the field of Wireless Multimedia Sensor Network (WMSN). There are several image denoising algorithms proposed so far in the field of WMSN to reduce the impact of noise over images. Out of various denoising algorithms, wavelets have shown superior performance as image denoising technique. However, the properties of wavelets may affect the denoised output significantly for different set of images. In order to avoid this, an attempt has been made in this paper to reduce the Gaussian noise during image acquisition by utilizing the double density dual tree wavelet transform. Further, the quality of the image can be enhanced by appending the Fast Bilateral Filter (FBF) with the double density wavelets. To understand the behavior of the double density wavelet based image denoising technique, it is simulated and compared with the existing dual tree complex wavelet transform based denoising technique for different noise levels by using MATLAB simulation.","","978-1-5386-4349-5","10.1109/ICoAC.2017.8441198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441198","Image denoising;Fast Bilateral Filter;Gaussian noise;Double Density Wavelets;Wireless Multimedia Sensor Network","Image denoising;Discrete wavelet transforms;Gaussian noise;Noise reduction;Wavelet coefficients","","1","","15","IEEE","23 Aug 2018","14-16 Dec. 2017","14-16 Dec. 2017","IEEE","IEEE Conferences"
